UID,title,authors,abstract,pdf_url,SessionInformation,presentation_id,GatherTownLink,ZoomLink
DC-79,AI for Social Good: Between My Research and the Real World,Zheyuan Ryan Shi,"AI for social good (AI4SG) is a research theme that aims to use and advance AI to improve the well-being of society. My work on AI4SG builds a two-way bridge between the research world and the real world. Using my unique experience in food waste and security, I propose applied AI4SG research that directly addresses real-world challenges which have received little attention from the community. Drawing from my experience in various AI4SG application domains, I propose bandit data-driven optimization, the first iterative prediction-prescription framework and a no-regret algorithm PROOF. I will apply PROOF back to my applied work on AI4SG, thereby closing the loop in a single framework.","i.e., a link to the preprint version of each paper (probably hosted in AAAI official site). We also need a zipped file of all the papers in order to extract an image from each paper","e.g., 10:00-11:00, February 7 ","i.e., for the link https://slideslive.com/paper.SlidesLivePresentationID",Each paper has a unique GatherTownLink,We need this information if there is a paper presentation session
DC-118,Effective Clustering of scRNA-seq Data to Identify Biomarkers without User Input,Hussain Chowdhury,"Clustering unleashes the power of scRNA-seq through identification of appropriate cell groups. It is considered a pre-requisite to performing differential expression analysis, followed by functional profiling to identify potential biomarkers from scRNA-seq data. Most existing clustering methods either integrate cluster validity indices or need user assistance to identify clusters of arbitrary shape. We develop two clustering methods 1) UIFDBC to identify clusters of arbitrary shapes, 2) UIPBC to cluster scRNA-seq data. Neither method integrates a cluster validity index nor takes any user input. Both approaches outperform state-of-the-art methods.",,,,,
DC-127,Verification and Repair of Neural Networks,Dario Guidotti,In this work I present an overview of my current research activities. My work lies at the intersection between Formal Verification and Neural Networks.,,,,,
DC-169,"Towards Fair, Equitable, and Efficient Peer Review",Ivan Stelmakh,"My work focuses on issues of bias and unfairness in an important application that forms the backbone of all of science -- refereeing of manuscripts, also known as peer review. Despite peer review being the primary mechanism of science dissemination for decades, the rapid growth of the number of submissions to leading AI and ML conferences has challenged its sustainability in two ways: (i) It has brought up a call for automated tools to assist human decision-makers and (ii) It has amplified the shortcomings of the peer-review procedure, making them more visible to the community and stressing the importance of research on peer review. These issues motivate my thesis research and I am passionate about working at the intersection of machine learning, operations research, social choice theory, and human-computer interaction, to understand and develop a principled approach towards scientific peer review. Specifically, I believe that a carefully designed Human-AI collaboration is crucial for sustainability of peer review and in my work I aim at designing tools to support this collaboration.",,,,,
DC-200,Creating Interpretable Data-Driven Approaches for Remote Health Monitoring,Alireza Ghods,"We are at a turning point to address the unprecedented challenges we are facing in healthcare systems. With the aging of the population and increasing health disparities  in rural areas, healthcare needs assistance from technologies to address the needs of these populations. Inexpensive sensors embedded in everyday physical settings and ubiquitous wearable devices might provide such a solution. In close collaboration with clinicians, we hope to expose the true potential of data-driven approaches to healthcare. My doctoral research goal is to introduce novel ways to help clinicians understand patients' health status by developing new visualization tools and interpretable models that analyze human health and behavior from sensor data.",,,,,
DC-246,Distributed Situation Awareness for Multi-agent Mission in Dynamic En-vironments: A Case Study of Multi-UAVs Wildfires Searching,Sagir Muhammad Yusuf|Chris Baber,"This thesis focuses attention on achieving distributed situation awareness (DSA) with minimal resources involving the use of low capacited agents (e.g., UAVs) coordinated in decentralised fashion. This is incontrast to the existing works involving complex and sophisticated communication and algorithms. We hope to achieve also an effective path planning strategy for the agents conducting space exploration task (i.e., our use case). Probabilistic reasoning, learning, and predictable agents' path planning strategy will be used in achieving our aim. The path planning strategy will utilises policies from computational geometry. Results from the outlined mythologies shows fruitful outcome in event predictions and resources agents utilisations.",,,,,
DC-260,Effect of Alterations on Face Recognition Algorithms,Puspita Majumdar,"Modern deep learning systems have achieved unparalleled success and several applications have significantly benefited due to these technological advancements. However, these systems have also shown different vulnerabilities that have strong implications on the performance of such systems. Among these vulnerabilities, alterations have been Achilles’ heel problem. Applications such as face recognition are susceptible to alterations due to changes in facial features and real-world image distortions. In the presence of alterations, we have observed that system predictions become biased towards particular demographic subgroups along with overall performance degradation. My research focuses on analyzing the effect of alterations on automatic face recognition systems and developing algorithms to overcome the effects of alteration for fair and robust face recognition.",,,,,
DC-276,A Computational Approach to Sign Language Understanding,Tejaswini Ananthanarayana,"Sign language is the primary mode of communication in the Deaf and Hard-of-Hearing (DHH) communities. Unfortunately, sign language is not as well understood among the non-signing hearing population leading to limited access and services to the DHH community, and also acts as a barrier between non-signing and DHH people. In my Ph.D. thesis, I am working on improving the sequence modeling for sign language translation and understanding by considering different types of sequence models, various input features, and by understanding the semantic relation between the words and the signs. Currently, my research focuses on a popular publicly available German Sign Language dataset.",,,,,
DC-281,Artificial Intelligence and Machine Learning forautonomous agents that learn to plan and operatein unpredictable dynamic environments,Leonardo Lamanna,"My  research  activity  focuses  on  the  integration  of  acting, learning and planning. The main objective is to build a system that is capable to learn how to plan and act in an unknown, dynamic and complex environment. On the learning side, I’m interested in developing algorithms that allow an artificial agent to learn an abstract model of the dynamics of the environment (e.g. an explicit model like a deterministic finite state machine or a model described in a language to express planning domains). In addition to learning the abstract model, I’m interested in learning probabilistic (generative) models that connects the abstract model with the perceptions of the artificial agents. On the acting and planning side, the artificial agent decides how to act by means of state-of-art planners, e.g. Fastdownward (Helmert 2006). With its own experience, it enriches the planner knowledge, as well as the learned model of the environment. On the learning part, the agent applies techniques for dynamic probabilistic clustering of perceptions in a set of abstract states, neural network for learning transition models, and inductive reasoning for learning action model descriptions.",,,,,
DC-304,How Human Centered AI Will Contribute Towards Intelligent Gaming Systems,Yilei Zeng,"A paradigm shift towards human-centered intelligent gaming systems is gradually setting in. Such intelligent gaming system with embedded machine learning algorithms would explain player motivations, help design more personalized single player and collaborative experiences, transfer and generalize the learning from game to game. The multi-modal user behavior trajectories, both in-game and across various platforms, incorporate heterogeneous information and graph structures. These gaming modalities range from text, audios, video demos, activity replays, and social networks to psychological questionnaires. Identifying decision making patterns and strategies not only by observing in-game behavior actions but also by mining heterogeneous sources could construct a more holistic representation of the gaming community. Human priors publicly available on the World Wide Web would inspire the modeling for human-like non-player characters, adaptive recommendation systems, automatic game design, testing, and human-AI collaborations. My doctoral research goal is to mine, represent, and learn from human priors existing in the interactive entertainment community's heterogeneous sources and introduce ways to model single and multi-agent interactive behavior patterns.",,,,,
